store,product,date,quantity
0,0,2021-01-01,6
0,0,2021-01-02,19
0,0,2021-01-03,14
0,0,2021-01-04,10
0,0,2021-01-05,7
0,0,2021-01-06,6
0,0,2021-01-07,18
0,0,2021-01-08,10
0,0,2021-01-09,10
0,0,2021-01-10,3
0,0,2021-01-11,7
0,0,2021-01-12,2
0,0,2021-01-13,1
0,0,2021-01-14,11
0,0,2021-01-15,5
0,0,2021-01-16,1
0,0,2021-01-17,0
0,0,2021-01-18,11
0,0,2021-01-19,11
0,0,2021-01-20,16
0,0,2021-01-21,9
0,0,2021-01-22,15
0,0,2021-01-23,14
0,0,2021-01-24,14
0,0,2021-01-25,18
0,0,2021-01-26,11
0,0,2021-01-27,19
0,0,2021-01-28,2
0,0,2021-01-29,4
0,0,2021-01-30,18
0,0,2021-01-31,6
0,0,2021-02-01,8
0,0,2021-02-02,6
0,0,2021-02-03,17
0,0,2021-02-04,3
0,0,2021-02-05,13
0,0,2021-02-06,17
0,0,2021-02-07,8
0,0,2021-02-08,1
0,0,2021-02-09,19
0,0,2021-02-10,14
0,0,2021-02-11,6
0,0,2021-02-12,11
0,0,2021-02-13,7
0,0,2021-02-14,14
0,0,2021-02-15,2
0,0,2021-02-16,13
0,0,2021-02-17,16
0,0,2021-02-18,3
0,0,2021-02-19,17
0,0,2021-02-20,7
0,0,2021-02-21,3
0,0,2021-02-22,1
0,0,2021-02-23,5
0,0,2021-02-24,9
0,0,2021-02-25,3
0,0,2021-02-26,17
0,0,2021-02-27,11
0,0,2021-02-28,1
0,0,2021-03-01,9
0,0,2021-03-02,3
0,0,2021-03-03,13
0,0,2021-03-04,15
0,0,2021-03-05,14
0,0,2021-03-06,7
0,0,2021-03-07,13
0,0,2021-03-08,7
0,0,2021-03-09,15
0,0,2021-03-10,12
0,0,2021-03-11,17
0,0,2021-03-12,14
0,0,2021-03-13,12
0,0,2021-03-14,8
0,0,2021-03-15,14
0,0,2021-03-16,12
0,0,2021-03-17,0
0,0,2021-03-18,6
0,0,2021-03-19,8
0,0,2021-03-20,0
0,0,2021-03-21,11
0,0,2021-03-22,7
0,0,2021-03-23,10
0,0,2021-03-24,18
0,0,2021-03-25,16
0,0,2021-03-26,7
0,0,2021-03-27,2
0,0,2021-03-28,2
0,0,2021-03-29,0
0,0,2021-03-30,4
0,0,2021-03-31,9
0,0,2021-04-01,6
0,0,2021-04-02,8
0,0,2021-04-03,6
0,0,2021-04-04,8
0,0,2021-04-05,7
0,0,2021-04-06,11
0,0,2021-04-07,1
0,0,2021-04-08,0
0,0,2021-04-09,15
0,0,2021-04-10,4
0,0,2021-04-11,2
0,0,2021-04-12,11
0,0,2021-04-13,7
0,0,2021-04-14,2
0,0,2021-04-15,0
0,0,2021-04-16,2
0,0,2021-04-17,4
0,0,2021-04-18,14
0,0,2021-04-19,13
0,0,2021-04-20,2
0,0,2021-04-21,0
0,0,2021-04-22,4
0,0,2021-04-23,13
0,0,2021-04-24,6
0,0,2021-04-25,8
0,0,2021-04-26,14
0,0,2021-04-27,14
0,0,2021-04-28,9
0,0,2021-04-29,12
0,0,2021-04-30,18
0,0,2021-05-01,6
0,0,2021-05-02,16
0,0,2021-05-03,19
0,0,2021-05-04,3
0,0,2021-05-05,4
0,0,2021-05-06,6
0,0,2021-05-07,12
0,0,2021-05-08,14
0,0,2021-05-09,10
0,0,2021-05-10,3
0,0,2021-05-11,12
0,0,2021-05-12,6
0,0,2021-05-13,18
0,0,2021-05-14,1
0,0,2021-05-15,9
0,0,2021-05-16,12
0,0,2021-05-17,5
0,0,2021-05-18,11
0,0,2021-05-19,11
0,0,2021-05-20,19
0,0,2021-05-21,10
0,0,2021-05-22,6
0,0,2021-05-23,0
0,0,2021-05-24,0
0,0,2021-05-25,19
0,0,2021-05-26,12
0,0,2021-05-27,8
0,0,2021-05-28,2
0,0,2021-05-29,6
0,0,2021-05-30,5
0,1,2021-01-01,7
0,1,2021-01-02,8
0,1,2021-01-03,4
0,1,2021-01-04,0
0,1,2021-01-05,18
0,1,2021-01-06,9
0,1,2021-01-07,11
0,1,2021-01-08,14
0,1,2021-01-09,8
0,1,2021-01-10,19
0,1,2021-01-11,16
0,1,2021-01-12,16
0,1,2021-01-13,19
0,1,2021-01-14,11
0,1,2021-01-15,6
0,1,2021-01-16,1
0,1,2021-01-17,2
0,1,2021-01-18,16
0,1,2021-01-19,4
0,1,2021-01-20,16
0,1,2021-01-21,16
0,1,2021-01-22,16
0,1,2021-01-23,1
0,1,2021-01-24,1
0,1,2021-01-25,4
0,1,2021-01-26,0
0,1,2021-01-27,0
0,1,2021-01-28,18
0,1,2021-01-29,1
0,1,2021-01-30,11
0,1,2021-01-31,5
0,1,2021-02-01,3
0,1,2021-02-02,10
0,1,2021-02-03,16
0,1,2021-02-04,5
0,1,2021-02-05,4
0,1,2021-02-06,19
0,1,2021-02-07,1
0,1,2021-02-08,5
0,1,2021-02-09,10
0,1,2021-02-10,15
0,1,2021-02-11,15
0,1,2021-02-12,0
0,1,2021-02-13,8
0,1,2021-02-14,5
0,1,2021-02-15,15
0,1,2021-02-16,2
0,1,2021-02-17,19
0,1,2021-02-18,3
0,1,2021-02-19,18
0,1,2021-02-20,2
0,1,2021-02-21,18
0,1,2021-02-22,19
0,1,2021-02-23,6
0,1,2021-02-24,19
0,1,2021-02-25,8
0,1,2021-02-26,0
0,1,2021-02-27,7
0,1,2021-02-28,6
0,1,2021-03-01,17
0,1,2021-03-02,7
0,1,2021-03-03,0
0,1,2021-03-04,10
